ID,IC,FII,body_part,dry_weight
108,0.25,53,drythor,4.04
108,0.25,53,dryrest,3.85
108,0.25,53,drytotal,7.890000000000001
109,0.25,45,drythor,4.62
109,0.25,45,dryrest,6.68
109,0.25,45,drytotal,11.3
110,0.25,42,drythor,5.42
110,0.25,42,dryrest,6.88
110,0.25,42,drytotal,12.3
111,0,28,drythor,5.33
111,0,28,dryrest,8.01
111,0,28,drytotal,13.34
112,0,30,drythor,5.89
112,0,30,dryrest,7.32
112,0,30,drytotal,13.21
113,0,37,drythor,5.3
113,0,37,dryrest,11.99
113,0,37,drytotal,17.29
114,0,44,drythor,4.16
114,0,44,dryrest,6.81
114,0,44,drytotal,10.969999999999999
115,0,45,drythor,5.38
115,0,45,dryrest,11.45
115,0,45,drytotal,16.83
116,0,53,drythor,5.97
116,0,53,dryrest,8.67
116,0,53,drytotal,14.64
117,0,48,drythor,3.98
117,0,48,dryrest,5.12
117,0,48,drytotal,9.1
118,0.25,32,drythor,5.07
118,0.25,32,dryrest,5.89
118,0.25,32,drytotal,10.96
119,0.25,27,drythor,4.28
119,0.25,27,dryrest,5.69
119,0.25,27,drytotal,9.97
121,0.25,84,drythor,4.76
121,0.25,84,dryrest,6.85
121,0.25,84,drytotal,11.61
122,0.25,80,drythor,4.97
122,0.25,80,dryrest,5.59
122,0.25,80,drytotal,10.559999999999999
123,0.25,34,drythor,4.81
123,0.25,34,dryrest,5.89
123,0.25,34,drytotal,10.7
124,0.25,27,drythor,4.7
124,0.25,27,dryrest,7.18
124,0.25,27,drytotal,11.879999999999999
125,0.25,53,drythor,5.61
125,0.25,53,dryrest,6.98
125,0.25,53,drytotal,12.59
126,0.25,68,drythor,4.89
126,0.25,68,dryrest,6.86
126,0.25,68,drytotal,11.75
127,0.25,67,drythor,4.21
127,0.25,67,dryrest,7.2
127,0.25,67,drytotal,11.41
128,0.25,46,drythor,5.53
128,0.25,46,dryrest,10.85
128,0.25,46,drytotal,16.38
129,0.375,53,drythor,5.34
129,0.375,53,dryrest,9.45
129,0.375,53,drytotal,14.79
130,0.375,52,drythor,5.82
130,0.375,52,dryrest,12.77
130,0.375,52,drytotal,18.59
131,0.375,73,drythor,4.82
131,0.375,73,dryrest,5.31
131,0.375,73,drytotal,10.129999999999999
132,0.375,81,drythor,4.52
132,0.375,81,dryrest,5.89
132,0.375,81,drytotal,10.41
134,0.375,47,drythor,4.56
134,0.375,47,dryrest,6.76
134,0.375,47,drytotal,11.32
135,0.375,53,drythor,5.39
135,0.375,53,dryrest,7.98
135,0.375,53,drytotal,13.370000000000001
136,0.375,55,drythor,4.36
136,0.375,55,dryrest,7.5
136,0.375,55,drytotal,11.86
137,0,61,drythor,4.93
137,0,61,dryrest,5.24
137,0,61,drytotal,10.17
139,0,37,drythor,4.95
139,0,37,dryrest,6.37
139,0,37,drytotal,11.32
141,0,28,drythor,4.9
141,0,28,dryrest,6.55
141,0,28,drytotal,11.45
142,0,17,drythor,4.89
142,0,17,dryrest,6.24
142,0,17,drytotal,11.129999999999999
143,0,79,drythor,4.85
143,0,79,dryrest,4.3
143,0,79,drytotal,9.149999999999999
145,0,44,drythor,4.86
145,0,44,dryrest,5.54
145,0,44,drytotal,10.4
146,0,48,drythor,6.11
146,0,48,dryrest,8.58
146,0,48,drytotal,14.690000000000001
147,0,38,drythor,5.22
147,0,38,dryrest,4.43
147,0,38,drytotal,9.649999999999999
148,0,26,drythor,5.65
148,0,26,dryrest,8.27
148,0,26,drytotal,13.92
149,0,58,drythor,5.29
149,0,58,dryrest,6.8
149,0,58,drytotal,12.09
150,0,35,drythor,6.13
150,0,35,dryrest,8.89
150,0,35,drytotal,15.02
151,0,46,drythor,4.95
151,0,46,dryrest,6.43
151,0,46,drytotal,11.379999999999999
154,0.25,73,drythor,5.63
154,0.25,73,dryrest,8.42
